mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,workunit_id,step_id,class,verbose_text,worker_id,step_id,pattern
58,11,16,2,2,2,0,0,5,5,0,0,0,0,12,0,13,0,6.849315068,1.29900803,1.889466226,0.236183278,0.236183278,0.236183278,0,0,0.590458196,0.590458196,0,0,0,0,1.417099669,0,1.535191308,0,8.468,26.034,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  1/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  1/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
8,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,5,0,4.366812227,0,3.820960699,0.545851528,0.545851528,0.545851528,0,0,1.091703057,1.091703057,0,0,0,0,0,0,2.729257642,0,1.832,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  2/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  2/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
7,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.642039542,0,3.642039542,0.520291363,0.520291363,0.520291363,0,0,1.040582726,1.040582726,0,0,0,0,0,0,0,0,1.922,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  3/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  3/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
7,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.988603989,0,3.988603989,0.56980057,0.56980057,0.56980057,0,0,1.13960114,1.13960114,0,0,0,0,0,0,0,0,1.755,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  4/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  4/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
7,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,7.667031763,1.095290252,7.667031763,1.095290252,1.095290252,1.095290252,0,0,2.190580504,2.190580504,0,0,0,0,0,0,0,0,0.913,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  5/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  5/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
7,1,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,7.625272331,1.089324619,7.625272331,1.089324619,1.089324619,1.089324619,0,0,2.178649237,2.178649237,0,0,0,0,0,0,0,0,0.918,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  6/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  6/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
7,3,11,2,2,3,0,0,2,2,0,0,0,0,0,0,0,0,2.74833137,1.177856302,4.318806439,0.785237534,0.785237534,1.177856302,0,0,0.785237534,0.785237534,0,0,0,0,0,0,0,0,2.547,0,0,0,0,1,0,3X7837UUADAVM198M7BFP63VOYZ6J6#deb18c85-3293-4036-9477-b7b4cb81c42f#1A28TUBRN9GF443,Table -  7/7,1468,Reliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1468/jobs?id=&platform_job_id=3X7837UUADAVM198M7BFP63VOYZ6J6 - Workunit: Table -  7/7 - Pattern: Low No. Fields,A28TUBRN9GF443,1468,Low No. Fields
1,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,12,0,6.060606061,0,42.424242424,6.060606061,6.060606061,6.060606061,0,0,12.121212121,12.121212121,0,0,0,0,0,0,72.727272727,0,0.165,0,0,0,1,0,0,31S7M7DAGG27JP8KL5VLGV81CV5LTO#82d67f40-9c51-469e-bcd0-c1b1d924ef8f#1A2F0TZ26J6O49K,Dates -  2/5,1469,Unreliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1469/jobs?id=&platform_job_id=31S7M7DAGG27JP8KL5VLGV81CV5LTO - Workunit: Dates -  2/5 - Pattern: Too fast for a WU,A2F0TZ26J6O49K,1469,Too fast for a WU
1,0,8,1,1,1,0,1,2,2,0,0,0,0,0,0,12,0,4.716981132,0,37.735849057,4.716981132,4.716981132,4.716981132,0,4.716981132,9.433962264,9.433962264,0,0,0,0,0,0,56.603773585,0,0.212,0,0,0,1,0,0,31S7M7DAGG27JP8KL5VLGV81CV5LTO#82d67f40-9c51-469e-bcd0-c1b1d924ef8f#1A2F0TZ26J6O49K,Dates -  3/5,1469,Unreliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1469/jobs?id=&platform_job_id=31S7M7DAGG27JP8KL5VLGV81CV5LTO - Workunit: Dates -  3/5 - Pattern: Too fast for a WU,A2F0TZ26J6O49K,1469,Too fast for a WU
1,0,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,6.993006993,0,48.951048951,6.993006993,6.993006993,6.993006993,0,0,13.986013986,13.986013986,0,0,0,0,0,0,0,0,0.143,0,0,0,1,0,0,31S7M7DAGG27JP8KL5VLGV81CV5LTO#82d67f40-9c51-469e-bcd0-c1b1d924ef8f#1A2F0TZ26J6O49K,Dates -  4/5,1469,Unreliable,https://euprod.crowdcigar.com/storm/dashboard/steps/1469/jobs?id=&platform_job_id=31S7M7DAGG27JP8KL5VLGV81CV5LTO - Workunit: Dates -  4/5 - Pattern: Too fast for a WU,A2F0TZ26J6O49K,1469,Too fast for a WU
